#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"A. v.d. Hek";"PvdA";"M. Epema-Brugman";"PvdA";"1979.06.14";"http://polidocs.nl/XML/MOT/1992299.xml"
"A. v.d. Hek";"PvdA";"F. Moor";"PvdA";"1979.06.14";"http://polidocs.nl/XML/MOT/1992299.xml"
"G.C.F.M. Depla";"PvdA";"W. v. Gent";"GL";"2005.04.28";"http://polidocs.nl/XML/MOT/2060179.xml"
"E.P. v. Heemst";"PvdA";"C.G.A. Cornielje";"VVD";"2004.07.01";"http://polidocs.nl/XML/MOT/2046374.xml"
"P. Dankert";"PvdA";"L.J. Brinkhorst";"D66";"1980.09.15";"http://polidocs.nl/XML/MOT/1969695.xml"
"S.C. Weijers";"CDA";"J.A.P.M. Beekmans";"D66";"1977.02.09";"http://polidocs.nl/XML/MOT/2003762.xml"
"S.C. Weijers";"CDA";"J. v. Leeuwen";"CDA";"1977.02.09";"http://polidocs.nl/XML/MOT/2003762.xml"
"S.C. Weijers";"CDA";"A.D.W. Tilanus";"CDA";"1977.02.09";"http://polidocs.nl/XML/MOT/2003762.xml"
"L.S. Groenman";"D66";"M.B.C. Beckers-d. Bruijn";"PPR";"1984.11.26";"http://polidocs.nl/XML/MOT/1925774.xml"
"J.F. Buurmeijer";"PvdA";"E.K. Wessel-Tuinstra";"D66";"1980.03.18";"http://polidocs.nl/XML/MOT/1972745.xml"
"H.M. Gelderblom-Lankhout";"D66";"E.J. Rongen";"CDA";"1993.12.14";"http://polidocs.nl/XML/MOT/1868109.xml"
"H.M. Gelderblom-Lankhout";"D66";"W. v.d. Zandschulp";"PvdA";"1993.12.14";"http://polidocs.nl/XML/MOT/1868109.xml"
"H.M. Gelderblom-Lankhout";"D66";"H.F. Heijmans";"VVD";"1993.12.14";"http://polidocs.nl/XML/MOT/1868109.xml"
"H.M. Gelderblom-Lankhout";"D66";"K. Veling";"GPV";"1993.12.14";"http://polidocs.nl/XML/MOT/1868109.xml"
"H.M. Gelderblom-Lankhout";"D66";"W.T. d. Boer";"GL";"1993.12.14";"http://polidocs.nl/XML/MOT/1868109.xml"
"H. Vos";"PvdA";"A. Stemerdink";"PvdA";"1988.06.16";"http://polidocs.nl/XML/MOT/1901619.xml"
"H. Vos";"PvdA";"M. v. Traa";"PvdA";"1988.06.16";"http://polidocs.nl/XML/MOT/1901619.xml"
"H. Vos";"PvdA";"E.L. Herfkens";"PvdA";"1988.06.16";"http://polidocs.nl/XML/MOT/1901619.xml"
"P.J.L. Verbugt";"VVD";"G.B.M. Leers";"CDA";"1996.02.21";"http://polidocs.nl/XML/MOT/1849113.xml"
"A.J. t. Veldhuis";"VVD";"A.G.W.J. Lansink";"CDA";"1984.10.30";"http://polidocs.nl/XML/MOT/1925997.xml"
"S. d. Rouwe";"CDA";"C.W.J.M. Roefs";"PvdA";"2008.02.06";"http://polidocs.nl/XML/MOT/6273112.xml"
"S. d. Rouwe";"CDA";"E.A. Cramer";"CU";"2008.02.06";"http://polidocs.nl/XML/MOT/6273112.xml"
"J.J. Atsma";"CDA";"D.J. Stellingwerf";"CU";"2001.12.12";"http://polidocs.nl/XML/MOT/2013700.xml"
"J.J. Atsma";"CDA";"B.J. v.d. Vlies";"SGP";"2001.12.12";"http://polidocs.nl/XML/MOT/2013700.xml"
"E.D.C.M. Lambrechts";"D66";"F. Vergeer";"SP";"2005.01.25";"http://polidocs.nl/XML/MOT/2055629.xml"
"E.D.C.M. Lambrechts";"D66";"M. Kraneveldt";"LPF";"2005.01.25";"http://polidocs.nl/XML/MOT/2055629.xml"
"J.L.N. Schaefer";"PvdA";"W.A. d. Pree";"PvdA";"1986.12.01";"http://polidocs.nl/XML/MOT/1908318.xml"
"B.I. v.d. Burg";"VVD";"P.E. Smeets";"PvdA";"2007.10.11";"http://polidocs.nl/XML/MOT/6156967.xml"
"B.I. v.d. Burg";"VVD";"P.J.M.G. Blanksma-v.d. Heuvel";"CDA";"2007.10.11";"http://polidocs.nl/XML/MOT/6156967.xml"
"B. d. Vries";"CDA";"E. v. Thijn";"PvdA";"1980.01.30";"http://polidocs.nl/XML/MOT/1978036.xml"
"B. d. Vries";"CDA";"E. Nypels";"D66";"1980.01.30";"http://polidocs.nl/XML/MOT/1978036.xml"
"B. d. Vries";"CDA";"H. Eversdijk";"CDA";"1980.01.30";"http://polidocs.nl/XML/MOT/1978036.xml"
"J. v. Nieuwenhoven";"PvdA";"P. Rosenmöller";"GL";"1996.12.12";"http://polidocs.nl/XML/MOT/1845218.xml"
