#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"S. Faber";"CDA";"J.A. v. Kemenade";"PvdA";"1980.06.24";"http://polidocs.nl/XML/MOT/1970028.xml"
"S. Faber";"CDA";"M.B. Engwirda";"D66";"1980.06.24";"http://polidocs.nl/XML/MOT/1970028.xml"
"J.F. Snijder-Hazelhoff";"VVD";"J.J. Atsma";"CDA";"2004.11.16";"http://polidocs.nl/XML/MOT/2050588.xml"
"J.F. Snijder-Hazelhoff";"VVD";"C.G. v.d. Staaij";"SGP";"2004.11.16";"http://polidocs.nl/XML/MOT/2050588.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"C.B. Aptroot";"VVD";"2003.10.08";"http://polidocs.nl/XML/MOT/2033130.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"J. t. Hoopen";"CDA";"2003.10.08";"http://polidocs.nl/XML/MOT/2033130.xml"
"A.K. Koekkoek";"CDA";"G.J. Schutte";"GPV";"1995.06.29";"http://polidocs.nl/XML/MOT/1859207.xml"
"J.D. Gabor";"CDA";"T. Oedayraj Singh Varma";"GL";"1996.12.02";"http://polidocs.nl/XML/MOT/1842847.xml"
"L.H.J.M. Dankers";"CDA";"B.J. v.d. Vlies";"SGP";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"A. Rouvoet";"RPF";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"F.H.H. Weekers";"VVD";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"S. v. Vliet";"D66";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"R.H. Oudkerk";"PvdA";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"J.M.A.M. d. Wit";"SP";"F. Halsema";"GL";"1998.10.15";"http://polidocs.nl/XML/MOT/1910077.xml"
"E.D.C.M. Lambrechts";"D66";"B.M. d. Vries";"VVD";"1998.11.19";"http://polidocs.nl/XML/MOT/1826252.xml"
"E.D.C.M. Lambrechts";"D66";"M.A.M. Barth";"PvdA";"1998.11.19";"http://polidocs.nl/XML/MOT/1826252.xml"
"P.E. Smeets";"PvdA";"C.B. Aptroot";"VVD";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"A.D. Bakker";"D66";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"J. t. Hoopen";"CDA";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"W. v.d. Brink";"LPF";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"E. Irrgang";"SP";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"C.C.M. Vendrik";"GL";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.R. Stoffelen";"PvdA";"F.J. v.d. Heijden";"CDA";"1991.12.09";"http://polidocs.nl/XML/MOT/1874674.xml"
"P.R. Stoffelen";"PvdA";"H.F. Dijkstal";"VVD";"1991.12.09";"http://polidocs.nl/XML/MOT/1874674.xml"
"J.P. v. Iersel";"CDA";"A.P.W. Melkert";"PvdA";"1992.11.05";"http://polidocs.nl/XML/MOT/1871173.xml"
"J.G.C. Wiebenga";"VVD";"C.I. Dales";"PvdA";"1984.10.22";"http://polidocs.nl/XML/MOT/1971151.xml"
"A. v. Ojik";"GL";"J.W. Kersten";"PvdA";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"A. v. Ojik";"GL";"J.d. Graaf";"CDA";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"A. v. Ojik";"GL";"D. Eisma";"D66";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"M. d. Boer";"PvdA";"M.J. Augusteijn-Esser";"D66";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"M. d. Boer";"PvdA";"M.B. Vos";"GL";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"M. d. Boer";"PvdA";"E. v. Middelkoop";"GPV";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"A.D. Bakker";"D66";"F.J.F.M. d. Nerée t. Babberich";"CDA";"2005.06.30";"http://polidocs.nl/XML/MOT/2063071.xml"
"A.D. Bakker";"D66";"S.A. Blok";"VVD";"2005.06.30";"http://polidocs.nl/XML/MOT/2063071.xml"
"J.F. Scherpenhuizen";"VVD";"A.J. Evenhuis";"VVD";"1982.02.15";"http://polidocs.nl/XML/MOT/1969093.xml"
"T.W. Rietkerk";"CDA";"P.K. t. Veer";"D66";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"T.W. Rietkerk";"CDA";"M.B. Vos";"GL";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"T.W. Rietkerk";"CDA";"D.J. Stellingwerf";"RPF";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"L.S. Groenman";"D66";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"W.J. Willems";"PSP";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"C.I. Dales";"PvdA";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"M.A. Müller-v. Ast";"PvdA";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"B.J. v.d. Vlies";"SGP";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"M. Leerling";"RPF";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M. Bussemaker";"PvdA";"A.J. Schimmel";"D66";"1999.10.25";"http://polidocs.nl/XML/MOT/1821847.xml"
"A.B.M. Frinking";"CDA";"M.B.M.J. v. Vlijmen";"CDA";"1985.12.19";"http://polidocs.nl/XML/MOT/1916175.xml"
"E.L. Herfkens";"PvdA";"H. Knol";"PvdA";"1984.11.08";"http://polidocs.nl/XML/MOT/1926238.xml"
"A.D. Bakker";"D66";"V.M.C. v. Geen";"D66";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"A.D. Bakker";"D66";"M. Bussemaker";"PvdA";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"A.D. Bakker";"D66";"W. v. Gent";"GL";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"J. Franssen";"VVD";"A.J. Hermes";"CDA";"1986.04.21";"http://polidocs.nl/XML/MOT/1921433.xml"
"H.M. d. Boois";"PvdA";"R.J. Tazelaar";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"H.M. d. Boois";"PvdA";"A. v.d. Hek";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"H.M. d. Boois";"PvdA";"H. Veldhoen";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"E.I. Schippers";"VVD";"M.C.A. Smilde";"CDA";"2005.05.26";"http://polidocs.nl/XML/MOT/2060726.xml"
"C.E.G. v. Gennip";"CDA";"J.S. Voordewind";"CU";"2007.11.08";"http://polidocs.nl/XML/MOT/6190058.xml"
"C.E.G. v. Gennip";"CDA";"M.H.P. v. Dam";"PvdA";"2007.11.08";"http://polidocs.nl/XML/MOT/6190058.xml"
"J.L.A. Jansen";"PPR";"E. Nypels";"D66";"1980.05.22";"http://polidocs.nl/XML/MOT/1970145.xml"
"M.L. d. Pater-v.d. Meer";"CDA";"O.P.G. Vos";"VVD";"2001.07.03";"http://polidocs.nl/XML/MOT/1805773.xml"
"F.W.C. Castricum";"PvdA";"A. v.d. Hek";"PvdA";"1979.04.04";"http://polidocs.nl/XML/MOT/1987421.xml"
"F.W.C. Castricum";"PvdA";"M.B. Engwirda";"D66";"1979.04.04";"http://polidocs.nl/XML/MOT/1987421.xml"
"J.C.Th. v.d. Doef";"PvdA";"J.P. v. Iersel";"CDA";"1984.02.21";"http://polidocs.nl/XML/MOT/1935608.xml"
"J.C.Th. v.d. Doef";"PvdA";"H.H. Jacobse";"VVD";"1984.02.21";"http://polidocs.nl/XML/MOT/1935608.xml"
"A.D. Bakker";"D66";"F. v.d. Ploeg";"PvdA";"1995.04.27";"http://polidocs.nl/XML/MOT/1856986.xml"
"A.D. Bakker";"D66";"J.M. d. Vries";"VVD";"1995.04.27";"http://polidocs.nl/XML/MOT/1856986.xml"
"J. Buikema";"CDA";"S.C. Weijers";"CDA";"1980.05.29";"http://polidocs.nl/XML/MOT/1969551.xml"
"J. Buikema";"CDA";"W.A. Mateman";"CDA";"1980.05.29";"http://polidocs.nl/XML/MOT/1969551.xml"
"J. Franssen";"VVD";"T. Netelenbos";"PvdA";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"G. v. Leijenhorst";"CDA";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"A. Nuis";"D66";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"B.J. v.d. Vlies";"SGP";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"P.A. Lankhorst";"GL";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"G.J. Schutte";"GPV";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"M. Leerling";"RPF";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"W. Meijer";"PvdA";"S. Langedijk-d. Jong";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Meijer";"PvdA";"J.C.Th. v.d. Doef";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Meijer";"PvdA";"J.F. Buurmeijer";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Aantjes";"CDA";"J.J.P. d. Boer";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
"W. Aantjes";"CDA";"H. Wisselink";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
"W. Aantjes";"CDA";"M.J.J. v. Amelsvoort";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
"W. Aantjes";"CDA";"F. Borgman";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
"M. Rabbae";"GL";"M.A.M. Barth";"PvdA";"2001.12.11";"http://polidocs.nl/XML/MOT/2012684.xml"
"M. Rabbae";"GL";"L.H. Kortram";"PvdA";"2001.12.11";"http://polidocs.nl/XML/MOT/2012684.xml"
"G.J. Schutte";"GPV";"J.S.J. Hillen";"CDA";"1996.05.09";"http://polidocs.nl/XML/MOT/1858331.xml"
"G.J. Schutte";"GPV";"B.J. v.d. Vlies";"SGP";"1996.05.09";"http://polidocs.nl/XML/MOT/1858331.xml"
"G.J. Schutte";"GPV";"L.C. v. Dijke";"RPF";"1996.05.09";"http://polidocs.nl/XML/MOT/1858331.xml"
"E.G.M. Roemer";"SP";"C.W.J.M. Roefs";"PvdA";"2007.12.17";"http://polidocs.nl/XML/MOT/6242947.xml"
"H. Vos";"PvdA";"W.A. d. Pree";"PvdA";"1985.11.11";"http://polidocs.nl/XML/MOT/1916767.xml"
"M.J. v. Rooijen";"CDA";"F. Portheine";"VVD";"1980.02.27";"http://polidocs.nl/XML/MOT/1976964.xml"
"G.A.Q. Niessen";"PvdA";"M. Beinema";"CDA";"1990.12.17";"http://polidocs.nl/XML/MOT/1882136.xml"
"G.A.Q. Niessen";"PvdA";"H.F. Dijkstal";"VVD";"1990.12.17";"http://polidocs.nl/XML/MOT/1882136.xml"
"G.A.Q. Niessen";"PvdA";"A. Nuis";"D66";"1990.12.17";"http://polidocs.nl/XML/MOT/1882136.xml"
"G.A.Q. Niessen";"PvdA";"P.A. Lankhorst";"GL";"1990.12.17";"http://polidocs.nl/XML/MOT/1882136.xml"
"A. Rouvoet";"RPF";"G.J. Schutte";"GPV";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"B.J. v.d. Vlies";"SGP";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"A.K. Koekkoek";"CDA";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"M. Zijlstra";"PvdA";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"Th.C. d. Graaf";"D66";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"A.H. Korthals";"VVD";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"A. Rouvoet";"RPF";"J.G.C.A. Marijnissen";"SP";"1996.06.20";"http://polidocs.nl/XML/MOT/1849406.xml"
"G.J.P. v. Otterloo";"PvdA";"A.G.W.J. Lansink";"CDA";"1993.12.08";"http://polidocs.nl/XML/MOT/1864856.xml"
"A. Kosto";"PvdA";"Ch. Mertens";"D66";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"A. Kosto";"PvdA";"H.J.G. Waltmans";"PPR";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"A. Kosto";"PvdA";"A. Kappeyne v.d. Coppello";"VVD";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"A. Kosto";"PvdA";"W.J. Deetman";"CDA";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"A. Kosto";"PvdA";"J.S.L. Gualthérie v. Weezel";"CDA";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"A. Kosto";"PvdA";"J.J. Voogd";"PvdA";"1979.06.18";"http://polidocs.nl/XML/MOT/2001357.xml"
"R. v. Gijzel";"PvdA";"G.J. Wolffensperger";"D66";"1990.12.10";"http://polidocs.nl/XML/MOT/1892231.xml"
"R. v. Gijzel";"PvdA";"J.J. Feenstra";"PvdA";"1990.12.10";"http://polidocs.nl/XML/MOT/1892231.xml"
"M.J. Konings";"PvdA";"M.J.C. Worrell";"PvdA";"1982.05.24";"http://polidocs.nl/XML/MOT/1961892.xml"
"B. d. Vries";"CDA";"E.H.T.M. Nijpels";"VVD";"1983.10.13";"http://polidocs.nl/XML/MOT/1938049.xml"
"B. d. Vries";"CDA";"M.A.M. Wöltgens";"PvdA";"1983.10.13";"http://polidocs.nl/XML/MOT/1938049.xml"
"B. d. Vries";"CDA";"M.B. Engwirda";"D66";"1983.10.13";"http://polidocs.nl/XML/MOT/1938049.xml"
"P.A.M. Cornelissen";"CDA";"F.W.C. Castricum";"PvdA";"1980.11.20";"http://polidocs.nl/XML/MOT/1967144.xml"
"P.A.M. Cornelissen";"CDA";"J.M. v.d. Ven";"VVD";"1980.11.20";"http://polidocs.nl/XML/MOT/1967144.xml"
"P.A.M. Cornelissen";"CDA";"J.J. Lambers-Hacquebard";"D66";"1980.11.20";"http://polidocs.nl/XML/MOT/1967144.xml"
"A. Slob";"CU";"A.M.C. Eijsink";"PvdA";"2005.12.01";"http://polidocs.nl/XML/MOT/5642432.xml"
"D.M. Samsom";"PvdA";"J.W.E. Spies";"CDA";"2007.07.05";"http://polidocs.nl/XML/MOT/6085679.xml"
"D.M. Samsom";"PvdA";"E.E. Wiegman-v. Meppelen Scheppink";"CU";"2007.07.05";"http://polidocs.nl/XML/MOT/6085679.xml"
"D.M. Samsom";"PvdA";"P.F.C. Jansen";"SP";"2007.07.05";"http://polidocs.nl/XML/MOT/6085679.xml"
"W.J. Bos";"PvdA";"F. Halsema";"GL";"2003.06.12";"http://polidocs.nl/XML/MOT/2031706.xml"
"W.J. Bos";"PvdA";"J.G.C.A. Marijnissen";"SP";"2003.06.12";"http://polidocs.nl/XML/MOT/2031706.xml"
"A.L. t. Beek";"PvdA";"H.J.G. Waltmans";"PPR";"1979.08.29";"http://polidocs.nl/XML/MOT/1987230.xml"
"A.L. t. Beek";"PvdA";"A.G. v.d. Spek";"PSP";"1979.08.29";"http://polidocs.nl/XML/MOT/1987230.xml"
"A.M.V. Gerkens";"SP";"C.C.M. Vendrik";"GL";"2005.09.29";"http://polidocs.nl/XML/MOT/2064035.xml"
"A.M.V. Gerkens";"SP";"M.H.P. v. Dam";"PvdA";"2005.09.29";"http://polidocs.nl/XML/MOT/2064035.xml"
"B.O. Dittrich";"D66";"G.J.W. v. Oven";"PvdA";"1997.06.26";"http://polidocs.nl/XML/MOT/1837368.xml"
"A. Nicolaï";"VVD";"W.G.J.M. v.d. Camp";"CDA";"2001.10.29";"http://polidocs.nl/XML/MOT/2009582.xml"
"F. Koser Kaya";"D66";"E.A.W. v.d. Sande";"VVD";"2006.10.26";"http://polidocs.nl/XML/MOT/5878360.xml"
"E. v. Thijn";"PvdA";"H. Rienks";"PvdA";"1980.02.18";"http://polidocs.nl/XML/MOT/1999056.xml"
"E. v. Thijn";"PvdA";"J.J. Lambers-Hacquebard";"D66";"1980.02.18";"http://polidocs.nl/XML/MOT/1999056.xml"
"E. v. Thijn";"PvdA";"J.L.A. Jansen";"PPR";"1980.02.18";"http://polidocs.nl/XML/MOT/1999056.xml"
"M.A. Müller-v. Ast";"PvdA";"C.I. Dales";"PvdA";"1983.06.27";"http://polidocs.nl/XML/MOT/1942999.xml"
"J.F. Wolff";"CPN";"M. Bakker";"CPN";"1979.03.13";"http://polidocs.nl/XML/MOT/1984243.xml"
"H.J. v.d. Steenhoven";"GL";"M.J. Augusteijn-Esser";"D66";"2001.11.22";"http://polidocs.nl/XML/MOT/2010836.xml"
"M.B. Engwirda";"D66";"E. Nypels";"D66";"1980.06.23";"http://polidocs.nl/XML/MOT/1992735.xml"
"S.R. Fritsma";"PVV";"F. Teeven";"VVD";"2007.02.15";"http://polidocs.nl/XML/MOT/5966411.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"M.B. Vos";"GL";"1996.05.21";"http://polidocs.nl/XML/MOT/1883614.xml"
"M.J.A. v.d. Hoeven";"CDA";"M.A.M. Barth";"PvdA";"2001.10.18";"http://polidocs.nl/XML/MOT/2009296.xml"
"B. v.d. Ham";"D66";"M.L. Thieme";"PVDD";"2007.11.06";"http://polidocs.nl/XML/MOT/6180884.xml"
"H.M. d. Boois";"PvdA";"A.J. Voortman";"PvdA";"1975.11.03";"http://polidocs.nl/XML/MOT/2006274.xml"
"H.M. d. Boois";"PvdA";"J.L.A. Jansen";"PPR";"1975.11.03";"http://polidocs.nl/XML/MOT/2006274.xml"
"H.M. d. Boois";"PvdA";"J.A.P.M. Beekmans";"D66";"1975.11.03";"http://polidocs.nl/XML/MOT/2006274.xml"
"H.M. d. Boois";"PvdA";"J.J. Koningh";"DS70";"1975.11.03";"http://polidocs.nl/XML/MOT/2006274.xml"
"D.J. Stellingwerf";"RPF";"M.B. Vos";"GL";"1999.10.13";"http://polidocs.nl/XML/MOT/1816586.xml"
"H.J.B. Aarts";"CDA";"F. Bolkestein";"VVD";"1980.10.20";"http://polidocs.nl/XML/MOT/1967736.xml"
"H.J.B. Aarts";"CDA";"M.B. Engwirda";"D66";"1980.10.20";"http://polidocs.nl/XML/MOT/1967736.xml"
"H.J.B. Aarts";"CDA";"A. v.d. Hek";"PvdA";"1980.10.20";"http://polidocs.nl/XML/MOT/1967736.xml"
"F. Örgü";"VVD";"J.J. Atsma";"CDA";"2005.11.21";"http://polidocs.nl/XML/MOT/5577102.xml"
"F. Örgü";"VVD";"A.D. Bakker";"D66";"2005.11.21";"http://polidocs.nl/XML/MOT/5577102.xml"
"F. Halsema";"GL";"W.J. Bos";"PvdA";"2004.09.29";"http://polidocs.nl/XML/MOT/2047757.xml"
"F. Halsema";"GL";"M. Herben";"LPF";"2004.09.29";"http://polidocs.nl/XML/MOT/2047757.xml"
"F. Halsema";"GL";"B.J. v.d. Vlies";"SGP";"2004.09.29";"http://polidocs.nl/XML/MOT/2047757.xml"
"F. Halsema";"GL";"A. Rouvoet";"CU";"2004.09.29";"http://polidocs.nl/XML/MOT/2047757.xml"
"F. Halsema";"GL";"J.G.C.A. Marijnissen";"SP";"2004.09.29";"http://polidocs.nl/XML/MOT/2047757.xml"
"C.C.M. Vendrik";"GL";"A.C. Kant";"SP";"2003.06.26";"http://polidocs.nl/XML/MOT/2031442.xml"
"C.C.M. Vendrik";"GL";"G.A. Verbeet";"PvdA";"2003.06.26";"http://polidocs.nl/XML/MOT/2031442.xml"
"A. Rouvoet";"CU";"C.G. v.d. Staaij";"SGP";"2003.11.27";"http://polidocs.nl/XML/MOT/2037537.xml"
"A. Rouvoet";"CU";"E.H. Tonkens";"GL";"2003.11.27";"http://polidocs.nl/XML/MOT/2037537.xml"
"S. d. Rouwe";"CDA";"M. Kraneveldt-v.d. Veen";"PvdA";"2008.02.14";"http://polidocs.nl/XML/MOT/6289514.xml"
"S. d. Rouwe";"CDA";"A. Slob";"CU";"2008.02.14";"http://polidocs.nl/XML/MOT/6289514.xml"
"D.W. d. Cloe";"PvdA";"H.G.J. Kamp";"VVD";"1997.12.18";"http://polidocs.nl/XML/MOT/1833631.xml"
"D.W. d. Cloe";"PvdA";"O. Scheltema-d. Nie";"D66";"1997.12.18";"http://polidocs.nl/XML/MOT/1833631.xml"
"D.W. d. Cloe";"PvdA";"M.J.A. v.d. Hoeven";"CDA";"1997.12.18";"http://polidocs.nl/XML/MOT/1833631.xml"
"D.W. d. Cloe";"PvdA";"T. Oedayraj Singh Varma";"GL";"1997.12.18";"http://polidocs.nl/XML/MOT/1833631.xml"
"H.F. Dijkstal";"VVD";"M.G.H.C. Oomen-Ruijten";"CDA";"1983.02.14";"http://polidocs.nl/XML/MOT/1954547.xml"
"H.F. Dijkstal";"VVD";"R.W. d. Korte";"VVD";"1983.02.14";"http://polidocs.nl/XML/MOT/1954547.xml"
"H.F. Dijkstal";"VVD";"V.A.M. v.d. Burg";"CDA";"1983.02.14";"http://polidocs.nl/XML/MOT/1954547.xml"
"H.F. Dijkstal";"VVD";"R.L.O. Linschoten";"VVD";"1983.02.14";"http://polidocs.nl/XML/MOT/1954547.xml"
"K.Y.I.J. Adelmund";"PvdA";"H.A.L. v. Hoof";"VVD";"1996.11.07";"http://polidocs.nl/XML/MOT/1876912.xml"
"K.Y.I.J. Adelmund";"PvdA";"A.J. Schimmel";"D66";"1996.11.07";"http://polidocs.nl/XML/MOT/1876912.xml"
"J.C. Witteveen-Hevinga";"PvdA";"H.J. v.d. Steenhoven";"GL";"2002.03.11";"http://polidocs.nl/XML/MOT/2015393.xml"
"J.C. Witteveen-Hevinga";"PvdA";"M.J. Augusteijn-Esser";"D66";"2002.03.11";"http://polidocs.nl/XML/MOT/2015393.xml"
"J.C. Witteveen-Hevinga";"PvdA";"P.C.E. v. Wijmen";"CDA";"2002.03.11";"http://polidocs.nl/XML/MOT/2015393.xml"
"A.J.W. Duyvendak";"GL";"F.J.M. Crone";"PvdA";"2002.11.25";"http://polidocs.nl/XML/MOT/2024672.xml"
"A.J.W. Duyvendak";"GL";"B. v.d. Ham";"D66";"2002.11.25";"http://polidocs.nl/XML/MOT/2024672.xml"
"A.J.W. Duyvendak";"GL";"K. v. Velzen";"SP";"2002.11.25";"http://polidocs.nl/XML/MOT/2024672.xml"
"M.M. Versnel-Schmitz";"D66";"P.A. Lankhorst";"GL";"1991.11.25";"http://polidocs.nl/XML/MOT/1880865.xml"
"F. Moor";"PvdA";"B. Spieker";"PvdA";"1983.11.16";"http://polidocs.nl/XML/MOT/1935111.xml"
"E. v. Middelkoop";"GPV";"B.J. v.d. Vlies";"SGP";"1993.06.21";"http://polidocs.nl/XML/MOT/1889878.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"M.I. Hamer";"PvdA";"2003.03.27";"http://polidocs.nl/XML/MOT/2029221.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"F. Vergeer-Mudde";"SP";"2003.03.27";"http://polidocs.nl/XML/MOT/2029221.xml"
"A.J. t. Veldhuis";"VVD";"H.J. Schartman";"CDA";"1984.05.09";"http://polidocs.nl/XML/MOT/1942633.xml"
"A.G.W.J. Lansink";"CDA";"D.J.D. Dees";"VVD";"1980.06.16";"http://polidocs.nl/XML/MOT/1972313.xml"
"M.J.M. Verhagen";"CDA";"F. Halsema";"GL";"1998.12.17";"http://polidocs.nl/XML/MOT/1909949.xml"
"A. Kosto";"PvdA";"H.M. d. Boois";"PvdA";"1977.03.14";"http://polidocs.nl/XML/MOT/2000502.xml"
"A. Kosto";"PvdA";"H.A. d. Boer";"CDA";"1977.03.14";"http://polidocs.nl/XML/MOT/2000502.xml"
"F. Teeven";"VVD";"A.J.M. Heerts";"PvdA";"2007.12.04";"http://polidocs.nl/XML/MOT/6216192.xml"
"O. Scheltema-d. Nie";"D66";"A. Slob";"CU";"2001.06.07";"http://polidocs.nl/XML/MOT/1809785.xml"
"O. Scheltema-d. Nie";"D66";"F. Halsema";"GL";"2001.06.07";"http://polidocs.nl/XML/MOT/1809785.xml"
"O. Scheltema-d. Nie";"D66";"J.T. v.d. Berg";"SGP";"2001.06.07";"http://polidocs.nl/XML/MOT/1809785.xml"
"E. Nypels";"D66";"M.B. Engwirda";"D66";"1980.06.23";"http://polidocs.nl/XML/MOT/1992723.xml"
"G.J. Wolffensperger";"D66";"J. Wallage";"PvdA";"1997.09.18";"http://polidocs.nl/XML/MOT/1834516.xml"
"G.J. Wolffensperger";"D66";"F. Bolkestein";"VVD";"1997.09.18";"http://polidocs.nl/XML/MOT/1834516.xml"
"J.H.B. v.d. Meer";"PvdA";"H. Heijne Makkreel";"VVD";"1983.12.21";"http://polidocs.nl/XML/MOT/1933287.xml"
"J.H.B. v.d. Meer";"PvdA";"M.C.B. Burkens";"VVD";"1983.12.21";"http://polidocs.nl/XML/MOT/1933287.xml"
"J.H.B. v.d. Meer";"PvdA";"H.A.F.M.O. v. Mierlo";"D66";"1983.12.21";"http://polidocs.nl/XML/MOT/1933287.xml"
"J.H.B. v.d. Meer";"PvdA";"S.C. Bischoff v. Heemskerck";"D66";"1983.12.21";"http://polidocs.nl/XML/MOT/1933287.xml"
"J.H.B. v.d. Meer";"PvdA";"A. Postma";"CDA";"1983.12.21";"http://polidocs.nl/XML/MOT/1933287.xml"
"F. v.d. Ploeg";"PvdA";"G. Ybema";"D66";"1997.10.01";"http://polidocs.nl/XML/MOT/1833088.xml"
"F. v.d. Ploeg";"PvdA";"G.H. Terpstra";"CDA";"1997.10.01";"http://polidocs.nl/XML/MOT/1833088.xml"
"J.N. Scholten";"CDA";"A.L. t. Beek";"PvdA";"1981.04.29";"http://polidocs.nl/XML/MOT/1991052.xml"
"J.N. Scholten";"CDA";"H.J.G. Waltmans";"PPR";"1981.04.29";"http://polidocs.nl/XML/MOT/1991052.xml"
"J.N. Scholten";"CDA";"L.J. Brinkhorst";"D66";"1981.04.29";"http://polidocs.nl/XML/MOT/1991052.xml"
"Ch. Mertens";"D66";"J.A. v. Kemenade";"PvdA";"1980.05.12";"http://polidocs.nl/XML/MOT/1975450.xml"
"Ch. Mertens";"D66";"M.J. Konings";"PvdA";"1980.05.12";"http://polidocs.nl/XML/MOT/1975450.xml"
